Best romantic vacation ever!!!!	Translation	Positive	Negative	EmotionRationale
Excellent location.	Excellent location.	4	-1	 Excellent[3] location[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Nice hotel, not sure about the location	Nice hotel, not sure about the location	2	-1	 Nice[1] hotel[0] not[0] sure[0] about[0] the[0] location[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Central location good vibes	Central location good vibes	2	-1	 Central[0] location[0] good[1] vibes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Valet parking was a little pricey.	Valet parking was a little pricey.	1	-1	 Valet[0] parking[0] was[0] a[0] little[0] pricey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Rooms were modern , staff friendlly , location great	Rooms were modern , staff friendly , location great	3	-1	 Rooms[0] were[0] modern[0] staff[0] friendlly/friendly[1] location[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great stay at The Zetta	Great stay at The Zetta	3	-1	 Great[2] stay[0] at[0] The[0] Zetta[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Fabulous location!!	Fabulous location!	3	-1	 Fabulous[2] location[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
The hotel is super stylish, the room was perfect.	The hotel is super stylish, the room was perfect.	3	-1	 The[0] hotel[0] is[0] super[2] stylish[0] the[0] room[0] was[0] perfect[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Trendy and Fun!	Trendy and Fun!	2	-1	 Trendy[0] and[0] Fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Fantastic location , close to everything , especially convenient for travel with train .	Fantastic location , close to everything , especially convenient for travel with train .	3	-1	 Fantastic[2] location[0] close[0] to[0] everything[0] especially[0] convenient[0] for[0] travel[0] with[0] train[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
The staff, the hotel, the playarea	The staff, the hotel, the playarea	1	-1	 The[0] staff[0] the[0] hotel[0] the[0] playarea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
My preference for a mattress is more on the harder side so...	My preference for a mattress is more on the harder side so.	1	-1	 My[0] preference[0] for[0] a[0] mattress[0] is[0] more[0] on[0] the[0] harder[0] side[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I don't write reviews ever. This was worth writing a great review for.	I don't write reviews ever.<br> This was worth writing a great review for.	3	-1	 I[0] don't[0] write[0] reviews[0] ever[0] [[Sentence=-1,1=word max, 1-5]] This[0] was[0] worth[0] writing[0] a[0] great[2] review[0] for[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Noisy	Noisy	1	-1	 Noisy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Can't wait to return!	Can't wait to return!	1	-1	 Can't[0] wait[0] to[0] return[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Best Stay In Philly	Best Stay In Philly	2	-1	 Best[1] Stay[0] In[0] Philly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Would NEVER Recommend!	Would NEVER Recommend!	1	-1	 Would[0] NEVER[0] Recommend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
All good except the front desk customer service	All good except the front desk customer service	2	-1	 All[0] good[1] except[0] the[0] front[0] desk[0] customer[0] service[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great family location	Great family location	3	-1	 Great[2] family[0] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Fantastic Location, Great Staff	Fantastic Location, Great Staff	3	-1	 Fantastic[2] Location[0] Great[2] Staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Suite hotel in downtown Philadelphia	Suite hotel in downtown Philadelphia	1	-1	 Suite[0] hotel[0] in[0] downtown[0] Philadelphia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Breakfast was a disaster	Breakfast was a disaster	1	-2	 Breakfast[0] was[0] a[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Wizard World visit	Wizard World visit	1	-1	 Wizard[0] World[0] visit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Last Minute Reservation	Last Minute Reservation	1	-1	 Last[0] Minute[0] Reservation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Clean and vey conveniently located	Clean and vey conveniently located	1	-1	 Clean[0] and[0] vey[0] conveniently[0] located[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Good stay	Good stay	2	-1	 Good[1] stay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Remember to ask for housekeeping!	Remember to ask for housekeeping!	1	-1	 Remember[0] to[0] ask[0] for[0] housekeeping[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Fantastic stay	Fantastic stay	3	-1	 Fantastic[2] stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
A few issues, but overall good	A few issues, but overall good	2	-1	 A[0] few[0] issues[0] but[0] overall[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great stay centrally located!	Great stay centrally located!	3	-1	 Great[2] stay[0] centrally[0] located[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great Accomodations	Great Accomodations	3	-1	 Great[2] Accomodations[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Pretty good hotel, could make a few changes	Pretty good hotel, could make a few changes	3	-1	 Pretty[2] good[1] hotel[0] could[0] make[0] a[0] few[0] changes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great location	Great location	3	-1	 Great[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
No frills but convenient location	No frills but convenient location	1	-1	 No[0] frills[0] but[0] convenient[0] location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great Hotel	Great Hotel	3	-1	 Great[2] Hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Good hotel and convenient location	Good hotel and convenient location	2	-1	 Good[1] hotel[0] and[0] convenient[0] location[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Works for Hamilton!	Works for Hamilton!	1	-1	 Works[0] for[0] Hamilton[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lovely little hotel	lovely little hotel	2	-1	 lovely[1] little[0] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Good location to conference	Good location to conference	2	-1	 Good[1] location[0] to[0] conference[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2nd time around, same great stay, same great service!!!!	2nd time around, same great stay, same great service!	3	-1	 2nd[0] time[0] around[0] same[0] great[2] stay[0] same[0] great[2] service[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Central location in City	Central location in City	1	-1	 Central[0] location[0] in[0] City[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Barebones Hotel	Barebones Hotel	1	-1	 Barebones[0] Hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Perfect for a Solo Traveler - Very clean, nice location!	Perfect for a Solo Traveler - Very clean, nice location!	2	-1	 Perfect[1] for[0] a[0] Solo[0] Traveler[0] Very[0] clean[0] nice[1] location[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Excellent location	Excellent location	4	-1	 Excellent[3] location[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Good and practical, great rates	Good and practical, great rates	3	-1	 Good[1] and[0] practical[0] great[2] rates[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Comfortable and affordable	Comfortable and affordable	2	-1	 Comfortable[1] and[0] affordable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Good central location - dated furniture though	Good central location - dated furniture though	2	-1	 Good[1] central[0] location[0] dated[0] furniture[0] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Good experience, great location!	Good experience, great location!	3	-1	 Good[1] experience[0] great[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Worth the visit	Worth the visit	1	-1	 Worth[0] the[0] visit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Best location in town.	Best location in town.	2	-1	 Best[1] location[0] in[0] town[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great Location and Fantastic Value	Great Location and Fantastic Value	3	-1	 Great[2] Location[0] and[0] Fantastic[2] Value[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
UK perspective.	UK perspective.	1	-1	 UK[0] perspective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Wonderful birthday weekend	Wonderful birthday weekend	3	-1	 Wonderful[2] birthday[0] weekend[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Good location, Safe area, Rooms are clean, comfortable, and appealing. There's cold water to refill your water bottle,	Good location, Safe area, Rooms are clean, comfortable, and appealing.<br> There's cold water to refill your water bottle,	2	-2	 Good[1] location[0] Safe[1] area[0] Rooms[0] are[0] clean[0] comfortable[1] and[0] appealing[0] [[Sentence=-1,2=word max, 1-5]] There's[0] cold[-1] water[0] to[0] refill[0] your[0] water[0] bottle[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
Great hotel, great service, great everything.	Great hotel, great service, great everything.	3	-1	 Great[2] hotel[0] great[2] service[0] great[2] everything[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Average hotel	Average hotel	1	-1	 Average[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great location off strip	Great location off strip	3	-1	 Great[2] location[0] off[0] strip[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Like a 60's post card!	Like a 60's post card!	2	-1	 Like[1] a[0] 60's[0] post[0] card[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Dream Team!!!	Dream Team!	2	-1	 Dream[0] Team[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Was probably a nice hotel at one point.	Was probably a nice hotel at one point.	2	-1	 Was[0] probably[0] a[0] nice[1] hotel[0] at[0] one[0] point[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
1 Extremely bad staff lady-on morn of 28dec shift	1 Extremely bad staff lady-on morn of 28dec shift	1	-4	 1[0] Extremely[0] bad[-1][-2 LastWordBoosterStrength] staff[0] lady[0] on[0] morn[0] of[0] 28dec[0] shift[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Couple weekend trip to Napa	Couple weekend trip to Napa	1	-1	 Couple[0] weekend[0] trip[0] to[0] Napa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great place to stay	Great place to stay	3	-1	 Great[2] place[0] to[0] stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
1st Trip to Napa	1st Trip to Napa	1	-1	 1st[0] Trip[0] to[0] Napa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Everything done well.	Everything done well.	1	-1	 Everything[0] done[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
No whining in the wine country	No whining in the wine country	1	-3	 No[0] whining[-2] in[0] the[0] wine[0] country[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Motel turned hotel	Motel turned hotel	1	-1	 Motel[0] turned[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Napa wine tastings	Napa wine tastings	1	-1	 Napa[0] wine[0] tastings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
napa stay	napa stay	1	-1	 napa[0] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
great place to stay in the wine country	great place to stay in the wine country	3	-1	 great[2] place[0] to[0] stay[0] in[0] the[0] wine[0] country[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great Stay!!!	Great Stay!	3	-1	 Great[2] Stay[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
SUPER	SUPER	3	-1	 SUPER[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Good for a night	Good for a night	2	-1	 Good[1] for[0] a[0] night[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Napa	Napa	1	-1	 Napa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Electrical Contractor	Electrical Contractor	1	-1	 Electrical[0] Contractor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Anniversary	Anniversary	1	-1	 Anniversary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
What You See is What You Get	What You See is What You Get	1	-1	 What[0] You[0] See[0] is[0] What[0] You[0] Get[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Scenic drive up to Calistoga	Scenic drive up to Calistoga	1	-1	 Scenic[0] drive[0] up[0] to[0] Calistoga[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Would Return	Would Return	1	-1	 Would[0] Return[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great nights sleep	Great nights sleep	3	-1	 Great[2] nights[0] sleep[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nice napa hotel	nice napa hotel	2	-1	 nice[1] napa[0] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Comfortable room and pleasant staff	Comfortable room and pleasant staff	3	-1	 Comfortable[1] room[0] and[0] pleasant[2] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Very Solid Choice	Very Solid Choice	1	-1	 Very[0] Solid[0] Choice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Good choice for those on a budget	Good choice for those on a budget	2	-1	 Good[1] choice[0] for[0] those[0] on[0] a[0] budget[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great hotel and staff - recommend	Great hotel and staff - recommend	3	-1	 Great[2] hotel[0] and[0] staff[0] recommend[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Always a great stay!	Always a great stay!	3	-1	 Always[0] a[0] great[2] stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Loved this property	Loved this property	4	-1	 Loved[3] this[0] property[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Week-end Napa Trip	Week-end Napa Trip	1	-1	 Week[0] end[0] Napa[0] Trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Napa Valley Jazz Getaway Stay	Napa Valley Jaz Getaway Stay	1	-1	 Napa[0] Valley[0] Jazz/Jaz[0] Getaway[0] Stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Staff was superb!	Staff was superb!	1	-1	 Staff[0] was[0] superb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
This was surprisingly luxurious for the price.	This was surprisingly luxurious for the price.	1	-1	 This[0] was[0] surprisingly[0] luxurious[0] for[0] the[0] price[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Nice surprise	Nice surprise	2	-1	 Nice[1] surprise[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Wow-Great price for a great room in a very over-priced tourist area	Wow-Great price for a great room in a very over-priced tourist area	4	-1	 Wow[2] Great[2][+1 MultiplePositiveWords] price[0] for[0] a[0] great[2] room[0] in[0] a[0] very[0] over[0] priced[0] tourist[0] area[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Clean and good location.	Clean and good location.	2	-1	 Clean[0] and[0] good[1] location[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
A do again for sure!	A do again for sure!	1	-1	 A[0] do[0] again[0] for[0] sure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
What a Ripoff	What a Ripoff	1	-1	 What[0] a[0] Ripoff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Very nice	Very nice	3	-1	 Very[0] nice[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Nice hotel Napa	Nice hotel Napa	2	-1	 Nice[1] hotel[0] Napa[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Amazing experience	Amazing experience	3	-1	 Amazing[2] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great Service and Nice rooms!	Great Service and Nice rooms!	3	-1	 Great[2] Service[0] and[0] Nice[1] rooms[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great location at a reasonable price.	Great location at a reasonable price.	3	-1	 Great[2] location[0] at[0] a[0] reasonable[0] price[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great customer service and good value for the location	Great customer service and good value for the location	3	-1	 Great[2] customer[0] service[0] and[0] good[1] value[1] for[0] the[0] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
excellent hotel in super location	excellent hotel in super location	4	-1	 excellent[3] hotel[0] in[0] super[2] location[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Best Western at the Vines	Best Western at the Vines	2	-1	 Best[1] Western[0] at[0] the[0] Vines[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great place to stop	Great place to stop	3	-1	 Great[2] place[0] to[0] stop[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
